"doc","totalwords","Headline","Year","Month","Day","NewsService","Byline"
"1","1106","EXECUTIVES BLAME CALIFORNIA HOUSING COSTS FOR DIP IN MIGRATION","1981","December","31",NA,"ROBERT LINDSEY, Special to the New York Times"
"2","364","HAITIANS IN DETENTION DROP HUNGER STRIKE; 100 ESCAPE FACILITY","1981","December","30",NA,"GREGORY JAYNES, Special to the New York Times"
"3","2137","NEW YORK, NEW YEAR, OLD DELIGHTS","1981","December","30",NA,NA
"4","571","IMMIGRATION SERVICE SAYS OVER 100 FLED FROM HAITIAN CAMP","1981","December","29",NA,NA
"5","431","SECTION: Section B; Page 16, Column 6; National Desk","1981","December","28",NA,NA
"6","141","Around the Nation;","1981","December","26",NA,NA
"7","653","HAITIANS AT 2 DETENTION SITES REFUSING TO EAT AND TO TALK","1981","December","25",NA,NA
"8","751","FOR A CARIBBEAN COMPACT","1981","December","23",NA,"Robert Pastor"
"9","305","SECTION: Section A; Page 16, Column 5; National Desk","1981","December","22",NA,NA
"10","938","CONGRESS FINALLY ACTS TO STEM THE FLOOD OF FOREIGN DOCTORS","1981","December","20",NA,"DAVID SHRIBMAN"
"11","651","MOON CHURCH FOLLOWER AGREES TO LEAVE U.S.","1981","December","18",NA,NA
"12","647","A BIG WEEKEND FOR ANTELOPE WELLS, N.M., POP. 2","1981","December","15",NA,NA
"13","636","MEXICAN BORDER AGENTS WARNED OF ASSASSIN TEAMS","1981","December","11",NA,NA
"14","964","AIDES SAY THAT SEA PATROL HAS SLOWED HAITIAN ENTRIES","1981","December","6",NA,"GREGORY JAYNES, Special to the New York Times"
"15","199","The City;","1981","December","5",NA,NA
"16","1026","SUIT BY 6 HAITIAN ALIENS TESTING DETENTION POLICY","1981","December","4",NA,"DAVID M. MARGOLICK"
"17","614","U.S. APPROVES THE RELEASE OF 703 CUBAN REFUGEES","1981","November","29",NA,"REGINALD STUART"
"18","981","HAITIANS: WE'LL KILL OURSELVES","1981","November","29",NA,NA
"19","91","A Plea to Stay in the United States","1981","November","27",NA,NA
"20","978","'BOATLIFT' PRIESTS AWAIT SENTENCING","1981","November","27",NA,"GREGORY JAYNES, Special to the New York Times"
